date,carbon in pgc,ph
1985-06-30,0.7134973407,8.108900241
1986-06-30,0.9804454446,8.109020233
1987-06-30,1.364871621,8.107590675
1988-06-30,1.084625125,8.103598496
1989-06-30,1.056866646,8.103391647
1990-06-30,1.050946236,8.102387428
1991-06-30,1.163594961,8.101377487
1992-06-30,1.469468951,8.100578308
1993-06-30,1.443016529,8.099256636
1994-06-30,1.314469814,8.098081589
1995-06-30,1.499713182,8.095368529
1996-06-30,1.260212779,8.094435692
1997-06-30,1.622747302,8.093821692
1998-06-30,1.456612825,8.0909338
1999-06-30,1.320740819,8.088260651
2000-06-30,1.228964329,8.086795225
2001-06-30,1.366765141,8.085930824
2002-06-30,1.363195181,8.084413584
2003-06-30,1.497413516,8.08240093
2004-06-30,1.643293619,8.080908328
2005-06-30,1.738792539,8.079414368
2006-06-30,1.816683173,8.07736655
2007-06-30,1.808322072,8.075752258
2008-06-30,1.617891192,8.074050903
2009-06-30,1.801536083,8.073098183
2010-06-30,2.029412508,8.070784427
2011-06-30,1.763568759,8.069220543
2012-06-30,2.039121389,8.067682266
2013-06-30,2.111124754,8.064709608
2014-06-30,2.249578476,8.063549
2015-06-30,2.27000761,8.062892914
2016-06-30,2.528911591,8.05990696
2017-06-30,2.340508699,8.05625468
2018-06-30,2.408614159,8.054286526
2019-06-30,2.692613602,8.05348587
2020-06-30,2.589651108,8.051399231
2021-06-30,2.538975954,8.04920578
2022-06-30,2.489405632,8.04588766
2023-06-30,2.04777503,8.043946152
2024-06-30,0,8.040817702895874	
